==> Resuming from checkpoint..
max :  tensor(15.99, device='cuda:0', grad_fn=<MaxBackward1>) , min :  tensor(-12.28, device='cuda:0', grad_fn=<MinBackward1>)
max :  tensor(16.96, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-14.46, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(2.48, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.05, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(7.69, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-11.42, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(21.14, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-17.49, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(2.98, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-2.10, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(4.25, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-5.80, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(18.27, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-22.63, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(2.89, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-2.07, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(4.50, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-5.36, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(28.44, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-26.46, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(3.60, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-5.72, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(17.81, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-19.61, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(15.86, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-15.87, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(2.62, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-2.92, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(6.04, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.95, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(18.09, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-21.93, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(3.51, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-2.15, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(4.60, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.27, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(30.70, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-24.99, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(3.08, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-3.85, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(10.48, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-12.46, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(15.15, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-13.38, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(2.51, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-3.59, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(5.36, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.97, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(18.81, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-16.78, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(3.14, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-3.07, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(5.51, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.26, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(29.63, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-27.12, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(2.40, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-4.34, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(10.00, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-10.05, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(11.56, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-9.76, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(36.98, device='cuda:1', grad_fn=<MaxBackward1>) , min :  tensor(-9.65, device='cuda:1', grad_fn=<MinBackward1>)
max :  tensor(13.67, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-10.53, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(19.41, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-22.81, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(16.40, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-12.47, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(59.12, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-60.73, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(8.88, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-9.15, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(15.01, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-24.29, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(34.39, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-40.74, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(6.17, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-5.38, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(15.98, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-15.36, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(48.78, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-55.56, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(8.42, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-9.32, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(19.41, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-19.86, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(19.75, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-29.22, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(3.43, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-4.65, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(12.93, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-12.99, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(28.25, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-31.69, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(3.27, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-4.25, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(8.47, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-5.32, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(44.33, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-43.79, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(4.84, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-7.93, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(17.51, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-20.41, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(15.95, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-14.89, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(2.60, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-3.72, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(7.78, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-11.55, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(20.42, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-17.16, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(2.59, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-2.18, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(4.24, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-4.90, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(18.92, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-21.42, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(2.29, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-2.61, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(4.22, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-4.94, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(27.75, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-27.73, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(4.09, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-5.70, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(18.26, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-17.74, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(15.46, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-15.89, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(2.71, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-2.93, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(6.03, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-5.94, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(22.91, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-21.90, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(3.80, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-1.97, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(4.93, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-4.23, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(31.76, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-28.39, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(3.13, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-3.73, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(12.95, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-12.81, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(15.47, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-17.32, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(2.39, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-3.49, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(5.80, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-5.42, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(20.95, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-20.08, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(3.21, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-2.93, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(4.82, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-5.24, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(27.27, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-32.50, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(2.14, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-4.42, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(9.12, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-9.69, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(12.01, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-9.93, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(28.66, device='cuda:2', grad_fn=<MaxBackward1>) , min :  tensor(-11.23, device='cuda:2', grad_fn=<MinBackward1>)
max :  tensor(16.51, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-15.73, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(19.34, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-22.34, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(15.26, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-11.16, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(64.00, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-64., device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(8.73, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-9.14, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(13.96, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-19.16, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(39.39, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-47.98, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(6.22, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-6.06, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(13.94, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-14.60, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(56.63, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-55.49, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(8.04, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-9.58, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(19.06, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-17.59, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(21.48, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-29.30, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(3.34, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-4.36, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(10.98, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-13.11, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(28.78, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-29.83, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(3.04, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-4.33, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(8.00, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-5.81, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(39.65, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-40.67, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(5.62, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-8.06, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(17.36, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-20.05, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(19.30, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-15.61, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(3.18, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-3.68, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(8.81, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-11.19, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(15.92, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-16.14, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(2.19, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-2.26, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(4.23, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-5.40, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(18.69, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-22.64, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(2.03, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-2.13, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(4.20, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-4.74, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(27.49, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-27.46, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(4.46, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-5.72, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(20.09, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-17.80, device='cuda:3', grad_fn=<MinBackward1>)
max :  tensor(15.06, device='cuda:3', grad_fn=<MaxBackward1>) , min :  tensor(-15.71, device='cuda:3', grad_fn=<MinBackward1>)
